t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
8.178,0,0,0,95,delta,2
8.2444,0,0,0,95,delta,2
8.3099,0,0,0,95,delta,2
8.4333,0,0,0,95,delta,2
8.4974,0,0,0,95,delta,2
8.5634,0,0,0,95,delta,2
8.6293,0,0,0,95,delta,2
8.6955,0,0,0,95,delta,2
8.8184,0,0,0,95,delta,2
8.8832,0,0,0,95,delta,2
8.9485,0,0,0,95,delta,2
9.0144,0,0,0,95,delta,2
9.0801,0,0,0,95,delta,2
9.2032,0,0,0,95,delta,2
9.2674,0,0,0,95,delta,2
9.333,0,0,0,95,delta,2
9.3994,0,0,0,95,delta,2
9.507,0,0,0,95,delta,1
10.0766,0,0,0,95,delta,1
10.0983,0,0,0,95,delta,1
10.1181,0,0,0,95,delta,1
10.1382,0,0,0,95,delta,1
10.158,0,0,0,95,delta,1
10.1904,0,0,0,95,delta,1
10.2099,0,0,0,95,delta,1
10.23,0,0,0,95,delta,1
10.2503,0,0,0,95,delta,1
10.2702,0,0,0,95,delta,1
10.3038,0,0,0,95,delta,1
10.3243,0,0,0,95,delta,1
10.3477,0,0,0,95,delta,1
10.439,0,0,0,95,delta,1
10.4593,0,0,0,95,delta,2
10.5343,0,0,0,95,delta,2
10.5544,0,0,0,95,delta,2
10.5745,0,0,0,95,delta,2
10.5943,0,0,0,95,delta,2
10.6141,0,0,0,95,delta,2
10.6453,0,0,0,95,delta,2
10.6656,0,0,0,95,delta,2
10.6859,0,0,0,95,delta,2
10.7072,0,0,0,95,delta,2
10.7273,0,0,0,95,delta,2
10.7582,0,0,0,95,delta,2
10.7792,0,0,0,95,delta,2
10.7994,0,0,0,95,delta,2
10.8193,0,0,0,95,delta,2
10.8395,0,0,0,95,delta,2
10.8724,0,0,0,95,delta,2
10.8923,0,0,0,95,delta,2
10.9128,0,0,0,95,delta,2
10.9335,0,0,0,95,delta,2
10.9535,0,0,0,95,delta,2
10.9843,0,0,0,95,delta,2
11.0045,0,0,0,95,delta,2
11.0249,0,0,0,95,delta,2
11.0452,0,0,0,95,delta,2
11.0654,0,0,0,95,delta,2
11.0991,0,0,0,95,delta,2
11.1198,0,0,0,95,delta,2
11.1399,0,0,0,95,delta,2
11.1603,0,0,0,95,delta,2
11.1803,0,0,0,95,delta,2
11.2131,0,0,0,95,delta,2
11.2332,0,0,0,95,delta,2
11.2536,0,0,0,95,delta,2
11.2743,0,0,0,95,delta,2
11.2945,0,0,0,95,delta,2
11.3252,0,0,0,95,delta,2
11.3452,0,0,0,95,delta,2
11.3658,0,0,0,95,delta,2
11.3864,0,0,0,95,delta,2
11.4062,0,0,0,95,delta,2
11.4375,0,0,0,95,delta,2
11.4574,0,0,0,95,delta,2
11.478,0,0,0,95,delta,2
11.4997,0,0,0,95,delta,2
11.5193,0,0,0,95,delta,2
11.5501,0,0,0,95,delta,2
11.5706,0,0,0,95,delta,2
11.5908,0,0,0,95,delta,2
11.6113,0,0,0,95,delta,2
11.6312,0,0,0,95,delta,2
11.6625,0,0,0,95,delta,2
11.6825,0,0,0,95,delta,2
11.7026,0,0,0,95,delta,2
11.7226,0,0,0,95,delta,2
11.7426,0,0,0,95,delta,2
