t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
8.606,0,16,16,221,delta,1
8.6362,0,16,16,221,delta,1
8.6565,0,16,16,221,delta,1
8.6767,0,16,16,221,delta,1
8.6967,0,16,16,221,delta,1
8.7173,0,16,16,221,delta,1
8.7485,0,16,16,221,delta,1
8.7683,0,16,16,221,delta,1
8.7888,0,16,16,221,delta,1
8.8088,0,16,16,221,delta,1
8.8289,0,16,16,221,delta,1
8.8608,0,16,16,221,delta,1
8.8808,0,16,16,221,delta,1
8.9009,0,16,16,221,delta,1
8.9216,0,16,16,221,delta,1
8.9417,0,16,16,221,delta,1
8.9727,0,16,16,221,delta,1
8.9924,0,16,16,221,delta,1
9.0138,0,16,16,221,delta,1
9.0337,0,16,16,221,delta,1
9.0536,0,16,16,221,delta,1
9.0842,0,16,16,221,delta,1
9.1046,0,16,16,221,delta,1
9.1247,0,16,16,221,delta,1
9.1446,0,16,16,221,delta,1
9.1647,0,16,16,221,delta,1
9.1959,0,16,16,221,delta,1
9.2155,0,16,16,221,delta,1
9.2358,0,16,16,221,delta,1
9.2557,0,16,16,221,delta,1
9.2758,0,16,16,221,delta,1
9.3066,0,16,16,221,delta,1
9.3264,0,16,16,221,delta,1
9.3478,0,16,16,221,delta,1
9.3679,0,16,16,221,delta,1
9.3879,0,16,16,221,delta,1
9.4182,0,16,16,221,delta,1
9.4386,0,16,16,221,delta,1
9.4589,0,16,16,221,delta,1
9.4792,0,16,16,221,delta,1
9.4998,0,16,16,221,delta,1
9.5312,0,16,16,221,delta,1
9.5514,0,16,16,221,delta,1
9.5718,0,16,16,221,delta,1
9.5915,0,16,16,221,delta,1
9.6116,0,16,16,221,delta,1
9.6425,0,16,16,221,delta,1
9.6623,0,16,16,221,delta,1
9.6827,0,16,16,221,delta,1
9.7027,0,16,16,221,delta,1
9.7224,0,16,16,221,delta,1
9.7533,0,16,16,221,delta,1
9.7735,0,16,16,221,delta,1
9.7939,0,16,16,221,delta,1
9.814,0,16,16,221,delta,1
9.8346,0,16,16,221,delta,1
9.8657,0,16,16,221,delta,1
9.8863,0,16,16,221,delta,1
9.9068,0,16,16,221,delta,1
9.9269,0,16,16,221,delta,1
9.9467,0,16,16,221,delta,1
9.9774,0,16,16,221,delta,1
9.9975,0,16,16,221,delta,1
10.018,0,16,16,221,delta,1
10.0389,0,16,16,221,delta,1
10.0587,0,16,16,221,delta,1
10.0894,0,16,16,221,delta,1
10.1096,0,16,16,221,delta,1
10.1298,0,16,16,221,delta,1
10.1494,0,16,16,221,delta,1
10.1695,0,16,16,221,delta,1
10.2015,0,16,16,221,delta,1
10.2214,0,16,16,221,delta,1
10.2417,0,16,16,221,delta,1
10.2616,0,16,16,221,delta,1
10.2822,0,16,16,221,delta,1
10.3135,0,16,16,221,delta,1
10.3337,0,16,16,221,delta,1
10.3541,0,16,16,221,delta,1
10.3749,0,16,16,221,delta,1
10.3958,0,16,16,221,delta,1
10.4267,0,16,16,221,delta,1
10.4465,0,16,16,221,delta,1
10.4674,0,16,16,221,delta,1
10.4876,0,16,16,221,delta,1
10.5077,0,16,16,221,delta,1
10.5381,0,16,16,221,delta,1
10.5583,0,16,16,221,delta,1
10.5787,0,16,16,221,delta,1
10.5989,0,16,16,221,delta,1
10.6186,0,16,16,221,delta,1
10.6491,0,16,16,221,delta,1
10.6692,0,16,16,221,delta,1
10.6897,0,16,16,221,delta,1
10.7097,0,16,16,221,delta,1
10.7295,0,16,16,221,delta,1
10.7604,0,16,16,221,delta,1
10.7803,0,16,16,221,delta,1
10.8007,0,16,16,221,delta,1
10.8205,0,16,16,221,delta,1
10.8406,0,16,16,221,delta,1
10.8712,0,16,16,221,delta,1
10.8913,0,16,16,221,delta,1
10.9117,0,16,16,221,delta,1
10.9314,0,16,16,221,delta,1
10.9515,0,16,16,221,delta,1
10.9826,0,16,16,221,delta,1
11.0029,0,16,16,221,delta,1
11.0249,0,16,16,221,delta,1
11.0459,0,16,16,221,delta,1
11.0676,0,16,16,221,delta,1
11.0987,0,16,16,221,delta,1
11.1189,0,16,16,221,delta,1
11.1396,0,16,16,221,delta,1
11.1597,0,16,16,221,delta,1
11.1801,0,16,16,221,delta,1
11.2115,0,16,16,221,delta,1
11.2317,0,16,16,221,delta,1
11.2518,0,16,16,221,delta,1
11.2718,0,16,16,221,delta,1
11.2924,0,16,16,221,delta,1
11.3232,0,16,16,221,delta,1
11.3438,0,16,16,221,delta,1
11.3638,0,16,16,221,delta,1
11.3839,0,16,16,221,delta,1
11.4047,0,16,16,221,delta,1
11.4355,0,16,16,221,delta,1
11.4559,0,16,16,221,delta,1
11.4756,0,16,16,221,delta,1
11.4956,0,16,16,221,delta,1
11.5161,0,16,16,221,delta,1
11.5481,0,16,16,221,delta,1
11.5689,0,16,16,221,delta,1
11.5901,0,16,16,221,delta,1
11.613,0,16,16,221,delta,1
11.6338,0,16,16,221,delta,1
11.6644,0,16,16,221,delta,1
11.6844,0,16,16,221,delta,1
11.7048,0,16,16,221,delta,1
11.7248,0,16,16,221,delta,1
11.7447,0,16,16,221,delta,1
11.7755,0,16,16,221,delta,1
11.7959,0,16,16,221,delta,1
11.8159,0,16,16,221,delta,1
11.837,0,16,16,221,delta,1
11.8583,0,16,16,221,delta,1
11.8918,0,16,16,221,delta,1
11.9118,0,16,16,221,delta,1
11.9321,0,16,16,221,delta,1
11.9529,0,16,16,221,delta,1
11.9736,0,16,16,221,delta,1
12.0047,0,16,16,221,delta,1
12.025,0,16,16,221,delta,1
12.0459,0,16,16,221,delta,1
12.0672,0,16,16,221,delta,1
12.0899,0,16,16,221,delta,1
12.1216,0,16,16,221,delta,1
12.1417,0,16,16,221,delta,1
12.1618,0,16,16,221,delta,1
12.1817,0,16,16,221,delta,1
12.2017,0,16,16,221,delta,1
12.2322,0,16,16,221,delta,1
