t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
9.8497,0,0,0,85,delta
9.87,0,0,0,85,delta
9.8898,0,0,0,85,delta
9.9097,0,0,0,85,delta
9.9302,0,0,0,85,delta
9.9518,0,0,0,85,delta
9.9728,0,0,0,85,delta
9.9935,0,0,0,85,delta
10.0137,0,0,0,85,delta
10.0337,0,0,0,85,delta
10.0538,0,0,0,85,delta
10.0739,0,0,0,85,delta
10.094,0,0,0,85,delta
10.1141,0,0,0,85,delta
10.1342,0,0,0,85,delta
10.1543,0,0,0,85,delta
10.175,0,0,0,85,delta
10.1948,0,0,0,85,delta
10.2145,0,0,0,85,delta
10.2349,0,0,0,85,delta
10.2547,0,0,0,85,delta
10.2748,0,0,0,85,delta
10.2947,0,0,0,85,delta
10.3147,0,0,0,85,delta
10.3349,0,0,0,85,delta
10.3549,0,0,0,85,delta
10.3759,0,0,0,85,delta
10.3959,0,0,0,85,delta
10.416,0,0,0,85,delta
10.4363,0,0,0,85,delta
10.4567,0,0,0,85,delta
10.4771,0,0,0,85,delta
10.4967,0,0,0,85,delta
10.5169,0,0,0,85,delta
10.5371,0,0,0,85,delta
10.5568,0,0,0,85,delta
10.5767,0,0,0,85,delta
10.5969,0,0,0,85,delta
10.6165,0,0,0,85,delta
10.6367,0,0,0,85,delta
10.6568,0,0,0,85,delta
10.6773,0,0,0,85,delta
10.6977,0,0,0,85,delta
10.7178,0,0,0,85,delta
10.7377,0,0,0,85,delta
10.7578,0,0,0,85,delta
10.7781,0,0,0,85,delta
10.7977,0,0,0,85,delta
10.8177,0,0,0,85,delta
10.8377,0,0,0,85,delta
10.8577,0,0,0,85,delta
10.8777,0,0,0,85,delta
10.898,0,0,0,85,delta
10.9179,0,0,0,85,delta
10.9379,0,0,0,85,delta
10.9585,0,0,0,85,delta
10.9788,0,0,0,85,delta
10.9987,0,0,0,85,delta
11.0188,0,0,0,85,delta
11.0386,0,0,0,85,delta
11.0589,0,0,0,85,delta
11.0789,0,0,0,85,delta
11.0988,0,0,0,85,delta
11.1187,0,0,0,85,delta
11.139,0,0,0,85,delta
11.1586,0,0,0,85,delta
11.1788,0,0,0,85,delta
11.1992,0,0,0,85,delta
11.2188,0,0,0,85,delta
11.2386,0,0,0,85,delta
11.2588,0,0,0,85,delta
11.2788,0,0,0,85,delta
11.2986,0,0,0,85,delta
11.3188,0,0,0,85,delta
11.3388,0,0,0,85,delta
11.3585,0,0,0,85,delta
11.3788,0,0,0,85,delta
11.3989,0,0,0,85,delta
11.4195,0,0,0,85,delta
11.4401,0,0,0,85,delta
11.4597,0,0,0,85,delta
11.4797,0,0,0,85,delta
11.4998,0,0,0,85,delta
11.521,0,0,0,85,delta
11.5407,0,0,0,85,delta
11.561,0,0,0,85,delta
11.5806,0,0,0,85,delta
11.6006,0,0,0,85,delta
11.6207,0,0,0,85,delta
11.6412,0,0,0,85,delta
11.6627,0,0,0,85,delta
11.6828,0,0,0,85,delta
11.7027,0,0,0,85,delta
11.7226,0,0,0,85,delta
11.743,0,0,0,85,delta
11.7627,0,0,0,85,delta
11.7829,0,0,0,85,delta
11.8034,0,0,0,85,delta
11.8235,0,0,0,85,delta
11.8436,0,0,0,85,delta
11.8637,0,0,0,85,delta
11.8837,0,0,0,85,delta
11.9039,0,0,0,85,delta
11.9239,0,0,0,85,delta
11.9437,0,0,0,85,delta
11.9636,0,0,0,85,delta
11.9838,0,0,0,85,delta
12.0036,0,0,0,85,delta
12.0236,0,0,0,85,delta
12.0437,0,0,0,85,delta
12.0636,0,0,0,85,delta
12.0838,0,0,0,85,delta
12.1039,0,0,0,85,delta
12.1236,0,0,0,85,delta
12.1437,0,0,0,85,delta
12.1637,0,0,0,85,delta
12.1835,0,0,0,85,delta
12.2036,0,0,0,85,delta
12.2239,0,0,0,85,delta
12.2436,0,0,0,85,delta
12.2635,0,0,0,85,delta
12.2838,0,0,0,85,delta
12.3036,0,0,0,85,delta
12.3235,0,0,0,85,delta
12.3438,0,0,0,85,delta
12.3637,0,0,0,85,delta
12.3837,0,0,0,85,delta
12.4038,0,0,0,85,delta
12.4236,0,0,0,85,delta
12.4436,0,0,0,85,delta
12.4638,0,0,0,85,delta
12.4836,0,0,0,85,delta
12.5037,0,0,0,85,delta
12.5238,0,0,0,85,delta
12.5437,0,0,0,85,delta
12.5636,0,0,0,85,delta
12.5839,0,0,0,85,delta
12.6037,0,0,0,85,delta
12.6237,0,0,0,85,delta
12.6438,0,0,0,85,delta
12.6636,0,0,0,85,delta
12.6837,0,0,0,85,delta
12.7037,0,0,0,85,delta
12.7236,0,0,0,85,delta
12.7437,0,0,0,85,delta
12.7637,0,0,0,85,delta
12.7836,0,0,0,85,delta
12.8037,0,0,0,85,delta
12.8237,0,0,0,85,delta
12.8438,0,0,0,85,delta
12.8655,0,0,0,85,delta
12.9641,0,0,0,85,delta
13.4454,0,0,0,85,delta
13.5317,0,0,0,85,delta
13.5522,0,0,0,85,delta
13.5723,0,0,0,85,delta
13.5945,0,0,0,85,delta
13.6145,0,0,0,85,delta
13.6344,0,0,0,85,delta
13.655,0,0,0,85,delta
13.6748,0,0,0,85,delta
13.6945,0,0,0,85,delta
13.7147,0,0,0,85,delta
13.7344,0,0,0,85,delta
13.7545,0,0,0,85,delta
13.7749,0,0,0,85,delta
13.7945,0,0,0,85,delta
13.8145,0,0,0,85,delta
13.8348,0,0,0,85,delta
13.8544,0,0,0,85,delta
13.8746,0,0,0,85,delta
13.895,0,0,0,85,delta
13.9157,0,0,0,85,delta
13.9356,0,0,0,85,delta
13.9559,0,0,0,85,delta
13.976,0,0,0,85,delta
13.9956,0,0,0,85,delta
14.0156,0,0,0,85,delta
14.0354,0,0,0,85,delta
14.0557,0,0,0,85,delta
14.0756,0,0,0,85,delta
14.0955,0,0,0,85,delta
14.1154,0,0,0,85,delta
14.1357,0,0,0,85,delta
14.1554,0,0,0,85,delta
14.1755,0,0,0,85,delta
14.1957,0,0,0,85,delta
14.2153,0,0,0,85,delta
14.2356,0,0,0,85,delta
14.2556,0,0,0,85,delta
14.2753,0,0,0,85,delta
14.2953,0,0,0,85,delta
14.3157,0,0,0,85,delta
14.3355,0,0,0,85,delta
14.3556,0,0,0,85,delta
14.3759,0,0,0,85,delta
14.3959,0,0,0,85,delta
14.4159,0,0,0,85,delta
14.4359,0,0,0,85,delta
14.4556,0,0,0,85,delta
14.4756,0,0,0,85,delta
14.496,0,0,0,85,delta
14.5154,0,0,0,85,delta
14.5356,0,0,0,85,delta
14.5559,0,0,0,85,delta
14.5754,0,0,0,85,delta
14.5955,0,0,0,85,delta
14.6158,0,0,0,85,delta
14.6356,0,0,0,85,delta
14.6558,0,0,0,85,delta
14.6756,0,0,0,85,delta
14.6955,0,0,0,85,delta
14.7154,0,0,0,85,delta
14.7356,0,0,0,85,delta
14.7554,0,0,0,85,delta
14.7755,0,0,0,85,delta
14.7958,0,0,0,85,delta
14.8155,0,0,0,85,delta
14.8356,0,0,0,85,delta
14.8557,0,0,0,85,delta
14.8757,0,0,0,85,delta
14.8961,0,0,0,85,delta
14.9168,0,0,0,85,delta
14.9366,0,0,0,85,delta
14.9564,0,0,0,85,delta
14.9767,0,0,0,85,delta
14.9966,0,0,0,85,delta
15.0168,0,0,0,85,delta
15.0366,0,0,0,85,delta
15.0564,0,0,0,85,delta
15.0764,0,0,0,85,delta
15.0965,0,0,0,85,delta
15.1164,0,0,0,85,delta
15.1362,0,0,0,85,delta
15.1567,0,0,0,85,delta
15.1766,0,0,0,85,delta
15.1964,0,0,0,85,delta
15.2168,0,0,0,85,delta
15.2366,0,0,0,85,delta
15.2563,0,0,0,85,delta
15.2765,0,0,0,85,delta
15.2963,0,0,0,85,delta
15.3164,0,0,0,85,delta
15.3366,0,0,0,85,delta
15.3564,0,0,0,85,delta
15.3766,0,0,0,85,delta
15.3967,0,0,0,85,delta
15.4169,0,0,0,85,delta
15.4366,0,0,0,85,delta
15.4571,0,0,0,85,delta
15.4776,0,0,0,85,delta
15.4975,0,0,0,85,delta
15.5177,0,0,0,85,delta
15.5376,0,0,0,85,delta
15.5575,0,0,0,85,delta
15.5776,0,0,0,85,delta
15.5975,0,0,0,85,delta
15.6175,0,0,0,85,delta
15.6376,0,0,0,85,delta
15.6574,0,0,0,85,delta
15.6774,0,0,0,85,delta
15.6976,0,0,0,85,delta
15.7176,0,0,0,85,delta
15.7374,0,0,0,85,delta
15.7576,0,0,0,85,delta
15.7774,0,0,0,85,delta
15.7985,0,0,0,85,delta
15.8188,0,0,0,85,delta
15.8384,0,0,0,85,delta
15.8584,0,0,0,85,delta
15.8787,0,0,0,85,delta
15.8991,0,0,0,85,delta
15.9187,0,0,0,85,delta
15.9391,0,0,0,85,delta
15.9594,0,0,0,85,delta
15.9794,0,0,0,85,delta
15.9998,0,0,0,85,delta
16.0194,0,0,0,85,delta
16.0393,0,0,0,85,delta
16.06,0,0,0,85,delta
16.0795,0,0,0,85,delta
16.0994,0,0,0,85,delta
16.1197,0,0,0,85,delta
16.1394,0,0,0,85,delta
16.1594,0,0,0,85,delta
16.1796,0,0,0,85,delta
16.1993,0,0,0,85,delta
16.2193,0,0,0,85,delta
16.2397,0,0,0,85,delta
16.2593,0,0,0,85,delta
16.2794,0,0,0,85,delta
16.2994,0,0,0,85,delta
16.3194,0,0,0,85,delta
16.3395,0,0,0,85,delta
16.3599,0,0,0,85,delta
16.3796,0,0,0,85,delta
16.3994,0,0,0,85,delta
16.4199,0,0,0,85,delta
16.4395,0,0,0,85,delta
16.4593,0,0,0,85,delta
16.4797,0,0,0,85,delta
16.4994,0,0,0,85,delta
16.5194,0,0,0,85,delta
16.5398,0,0,0,85,delta
16.5594,0,0,0,85,delta
16.5795,0,0,0,85,delta
16.5996,0,0,0,85,delta
16.6193,0,0,0,85,delta
16.6394,0,0,0,85,delta
16.6596,0,0,0,85,delta
16.6794,0,0,0,85,delta
16.6994,0,0,0,85,delta
16.7198,0,0,0,85,delta
16.7393,0,0,0,85,delta
16.7595,0,0,0,85,delta
16.7798,0,0,0,85,delta
16.7995,0,0,0,85,delta
16.8194,0,0,0,85,delta
16.8399,0,0,0,85,delta
16.8593,0,0,0,85,delta
16.8797,0,0,0,85,delta
16.8997,0,0,0,85,delta
16.9193,0,0,0,85,delta
16.9395,0,0,0,85,delta
16.9596,0,0,0,85,delta
16.9793,0,0,0,85,delta
16.9996,0,0,0,85,delta
17.0198,0,0,0,85,delta
17.0393,0,0,0,85,delta
17.0594,0,0,0,85,delta
17.0795,0,0,0,85,delta
