t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
9.7495,0,0,0,85,delta
9.7694,0,0,0,85,delta
9.7895,0,0,0,85,delta
9.8093,0,0,0,85,delta
9.8293,0,0,0,85,delta
9.8501,0,0,0,85,delta
9.8702,0,0,0,85,delta
9.8902,0,0,0,85,delta
9.9106,0,0,0,85,delta
9.9303,0,0,0,85,delta
9.9503,0,0,0,85,delta
9.9708,0,0,0,85,delta
9.9905,0,0,0,85,delta
10.0104,0,0,0,85,delta
10.0306,0,0,0,85,delta
10.0504,0,0,0,85,delta
10.0703,0,0,0,85,delta
10.0906,0,0,0,85,delta
10.1103,0,0,0,85,delta
10.1304,0,0,0,85,delta
10.1506,0,0,0,85,delta
10.1702,0,0,0,85,delta
10.1903,0,0,0,85,delta
10.2105,0,0,0,85,delta
10.2302,0,0,0,85,delta
10.2503,0,0,0,85,delta
10.2709,0,0,0,85,delta
10.292,0,0,0,85,delta
10.3126,0,0,0,85,delta
10.3334,0,0,0,85,delta
10.3536,0,0,0,85,delta
10.3733,0,0,0,85,delta
10.3935,0,0,0,85,delta
10.4134,0,0,0,85,delta
10.4333,0,0,0,85,delta
10.4534,0,0,0,85,delta
10.4734,0,0,0,85,delta
10.4934,0,0,0,85,delta
10.5135,0,0,0,85,delta
10.5335,0,0,0,85,delta
10.5536,0,0,0,85,delta
10.5735,0,0,0,85,delta
10.5936,0,0,0,85,delta
10.6135,0,0,0,85,delta
10.6335,0,0,0,85,delta
10.6536,0,0,0,85,delta
10.6735,0,0,0,85,delta
10.6938,0,0,0,85,delta
10.7133,0,0,0,85,delta
10.7341,0,0,0,85,delta
10.7547,0,0,0,85,delta
10.7745,0,0,0,85,delta
10.7943,0,0,0,85,delta
10.8145,0,0,0,85,delta
10.8344,0,0,0,85,delta
10.8544,0,0,0,85,delta
10.8745,0,0,0,85,delta
10.8943,0,0,0,85,delta
10.9142,0,0,0,85,delta
10.9345,0,0,0,85,delta
10.9544,0,0,0,85,delta
10.9743,0,0,0,85,delta
10.9944,0,0,0,85,delta
11.0143,0,0,0,85,delta
11.0344,0,0,0,85,delta
11.0544,0,0,0,85,delta
11.0742,0,0,0,85,delta
11.0943,0,0,0,85,delta
11.1146,0,0,0,85,delta
11.1345,0,0,0,85,delta
11.1543,0,0,0,85,delta
11.1744,0,0,0,85,delta
11.1943,0,0,0,85,delta
11.2143,0,0,0,85,delta
11.2344,0,0,0,85,delta
11.2544,0,0,0,85,delta
11.2743,0,0,0,85,delta
11.2946,0,0,0,85,delta
11.3146,0,0,0,85,delta
11.3346,0,0,0,85,delta
11.3545,0,0,0,85,delta
11.3745,0,0,0,85,delta
11.3943,0,0,0,85,delta
11.4144,0,0,0,85,delta
11.4345,0,0,0,85,delta
11.4543,0,0,0,85,delta
11.4746,0,0,0,85,delta
11.4947,0,0,0,85,delta
11.5144,0,0,0,85,delta
11.5348,0,0,0,85,delta
11.5544,0,0,0,85,delta
11.5742,0,0,0,85,delta
11.5943,0,0,0,85,delta
11.6143,0,0,0,85,delta
11.6342,0,0,0,85,delta
11.6546,0,0,0,85,delta
11.6744,0,0,0,85,delta
11.6941,0,0,0,85,delta
11.7144,0,0,0,85,delta
11.7343,0,0,0,85,delta
11.7543,0,0,0,85,delta
11.7744,0,0,0,85,delta
11.7943,0,0,0,85,delta
11.8142,0,0,0,85,delta
11.8345,0,0,0,85,delta
11.8543,0,0,0,85,delta
11.8742,0,0,0,85,delta
11.8945,0,0,0,85,delta
11.9142,0,0,0,85,delta
11.9343,0,0,0,85,delta
11.9544,0,0,0,85,delta
11.9745,0,0,0,85,delta
11.9942,0,0,0,85,delta
12.0145,0,0,0,85,delta
12.0345,0,0,0,85,delta
12.0542,0,0,0,85,delta
12.0744,0,0,0,85,delta
12.0943,0,0,0,85,delta
12.1144,0,0,0,85,delta
12.1346,0,0,0,85,delta
12.1545,0,0,0,85,delta
12.1741,0,0,0,85,delta
12.1944,0,0,0,85,delta
12.2143,0,0,0,85,delta
12.2345,0,0,0,85,delta
12.2544,0,0,0,85,delta
12.2743,0,0,0,85,delta
12.2948,0,0,0,85,delta
12.3146,0,0,0,85,delta
12.3344,0,0,0,85,delta
12.3543,0,0,0,85,delta
12.3744,0,0,0,85,delta
12.3942,0,0,0,85,delta
12.4143,0,0,0,85,delta
12.4347,0,0,0,85,delta
12.4543,0,0,0,85,delta
12.4742,0,0,0,85,delta
12.4944,0,0,0,85,delta
12.5144,0,0,0,85,delta
12.5341,0,0,0,85,delta
12.5544,0,0,0,85,delta
12.5742,0,0,0,85,delta
12.5942,0,0,0,85,delta
12.6144,0,0,0,85,delta
12.6343,0,0,0,85,delta
12.6543,0,0,0,85,delta
12.6745,0,0,0,85,delta
12.6944,0,0,0,85,delta
12.7143,0,0,0,85,delta
12.7345,0,0,0,85,delta
12.7551,0,0,0,85,delta
12.7756,0,0,0,85,delta
12.7955,0,0,0,85,delta
12.8152,0,0,0,85,delta
12.8354,0,0,0,85,delta
12.856,0,0,0,85,delta
12.8766,0,0,0,85,delta
12.9642,0,0,0,85,delta
13.0479,0,0,0,85,delta
13.0685,0,0,0,85,delta
13.0883,0,0,0,85,delta
13.1102,0,0,0,85,delta
13.1304,0,0,0,85,delta
13.1502,0,0,0,85,delta
13.1703,0,0,0,85,delta
13.1903,0,0,0,85,delta
13.2102,0,0,0,85,delta
13.2309,0,0,0,85,delta
13.2512,0,0,0,85,delta
13.2711,0,0,0,85,delta
13.2914,0,0,0,85,delta
13.3112,0,0,0,85,delta
13.3311,0,0,0,85,delta
13.3514,0,0,0,85,delta
13.3714,0,0,0,85,delta
13.3913,0,0,0,85,delta
13.4115,0,0,0,85,delta
13.4315,0,0,0,85,delta
13.4512,0,0,0,85,delta
13.4715,0,0,0,85,delta
13.4912,0,0,0,85,delta
13.5114,0,0,0,85,delta
13.5314,0,0,0,85,delta
13.5515,0,0,0,85,delta
13.5713,0,0,0,85,delta
13.5915,0,0,0,85,delta
13.6118,0,0,0,85,delta
13.6315,0,0,0,85,delta
13.6515,0,0,0,85,delta
13.6712,0,0,0,85,delta
13.6912,0,0,0,85,delta
13.7115,0,0,0,85,delta
13.7312,0,0,0,85,delta
13.7512,0,0,0,85,delta
13.7718,0,0,0,85,delta
13.7918,0,0,0,85,delta
13.8116,0,0,0,85,delta
13.8314,0,0,0,85,delta
13.8515,0,0,0,85,delta
13.8713,0,0,0,85,delta
13.8916,0,0,0,85,delta
13.9114,0,0,0,85,delta
13.9311,0,0,0,85,delta
13.9517,0,0,0,85,delta
13.9716,0,0,0,85,delta
13.9916,0,0,0,85,delta
14.0115,0,0,0,85,delta
14.0314,0,0,0,85,delta
14.0512,0,0,0,85,delta
14.0714,0,0,0,85,delta
14.0913,0,0,0,85,delta
14.1115,0,0,0,85,delta
14.1314,0,0,0,85,delta
14.1514,0,0,0,85,delta
14.1712,0,0,0,85,delta
14.1913,0,0,0,85,delta
14.2113,0,0,0,85,delta
14.2312,0,0,0,85,delta
14.2515,0,0,0,85,delta
14.2714,0,0,0,85,delta
14.2916,0,0,0,85,delta
14.3116,0,0,0,85,delta
14.3314,0,0,0,85,delta
14.3512,0,0,0,85,delta
14.3715,0,0,0,85,delta
14.3915,0,0,0,85,delta
14.4113,0,0,0,85,delta
14.4314,0,0,0,85,delta
14.4516,0,0,0,85,delta
14.4712,0,0,0,85,delta
14.4915,0,0,0,85,delta
14.5112,0,0,0,85,delta
14.5312,0,0,0,85,delta
14.5514,0,0,0,85,delta
14.5713,0,0,0,85,delta
14.5911,0,0,0,85,delta
14.6115,0,0,0,85,delta
14.6313,0,0,0,85,delta
14.6513,0,0,0,85,delta
14.6714,0,0,0,85,delta
14.6913,0,0,0,85,delta
14.7112,0,0,0,85,delta
14.7315,0,0,0,85,delta
14.7515,0,0,0,85,delta
14.7713,0,0,0,85,delta
14.7914,0,0,0,85,delta
14.8117,0,0,0,85,delta
14.8314,0,0,0,85,delta
14.8517,0,0,0,85,delta
14.8714,0,0,0,85,delta
14.8912,0,0,0,85,delta
14.9114,0,0,0,85,delta
14.9313,0,0,0,85,delta
14.9511,0,0,0,85,delta
14.9715,0,0,0,85,delta
14.9912,0,0,0,85,delta
15.0111,0,0,0,85,delta
15.0315,0,0,0,85,delta
15.0512,0,0,0,85,delta
15.0711,0,0,0,85,delta
15.0913,0,0,0,85,delta
15.1112,0,0,0,85,delta
15.1312,0,0,0,85,delta
15.1514,0,0,0,85,delta
15.1713,0,0,0,85,delta
15.1911,0,0,0,85,delta
15.2114,0,0,0,85,delta
15.2312,0,0,0,85,delta
15.2511,0,0,0,85,delta
15.2714,0,0,0,85,delta
15.2913,0,0,0,85,delta
15.3115,0,0,0,85,delta
15.3323,0,0,0,85,delta
15.3522,0,0,0,85,delta
15.3722,0,0,0,85,delta
15.3928,0,0,0,85,delta
15.4133,0,0,0,85,delta
15.4333,0,0,0,85,delta
15.4537,0,0,0,85,delta
15.4732,0,0,0,85,delta
15.4932,0,0,0,85,delta
15.5136,0,0,0,85,delta
15.5332,0,0,0,85,delta
15.5534,0,0,0,85,delta
15.5734,0,0,0,85,delta
15.5934,0,0,0,85,delta
15.6132,0,0,0,85,delta
15.6335,0,0,0,85,delta
15.6532,0,0,0,85,delta
15.6734,0,0,0,85,delta
15.6941,0,0,0,85,delta
15.7142,0,0,0,85,delta
15.7343,0,0,0,85,delta
15.7555,0,0,0,85,delta
15.7751,0,0,0,85,delta
15.7952,0,0,0,85,delta
15.8154,0,0,0,85,delta
15.836,0,0,0,85,delta
15.8563,0,0,0,85,delta
15.8771,0,0,0,85,delta
15.8972,0,0,0,85,delta
15.9172,0,0,0,85,delta
15.9381,0,0,0,85,delta
15.9583,0,0,0,85,delta
15.9781,0,0,0,85,delta
15.9985,0,0,0,85,delta
16.0182,0,0,0,85,delta
16.0381,0,0,0,85,delta
16.0586,0,0,0,85,delta
16.0782,0,0,0,85,delta
16.0981,0,0,0,85,delta
16.1184,0,0,0,85,delta
16.1383,0,0,0,85,delta
16.1582,0,0,0,85,delta
16.1784,0,0,0,85,delta
16.1983,0,0,0,85,delta
16.2181,0,0,0,85,delta
16.2391,0,0,0,85,delta
16.2592,0,0,0,85,delta
